序号,页面,中文母本,英文,繁体中文,韩文,日语,德语,法语,西班牙语,葡萄牙语,俄语,印尼语,意大利语,泰语,越南语,阿拉伯语,土耳其语
100020,邮件1正文标题,即将完成！,Almost there!,即將完成！,곧 완료됩니다!,まもなく完了します！,Fast geschafft!,On y est presque !,¡Ya casi está!,Quase pronto!,Почти готово!,Hampir selesai!,Ci sei quasi!,ใกล้แล้ว!,Gần xong rồi!,كدت تنتهي!,Neredeyse tamam!
100021,邮件1正文,使用下方验证码完成绑定。,Use the code below to complete the binding.,使用下方驗證碼完成綁定。,아래의 코드를 사용하여 연동을 완료하세요.,下記の認証コードを使用して連携を完了させてください。,"Benutze den untenstehenden Code, um die Verbindung abzuschließen.",Utilisez le code ci-dessous pour terminer la liaison.,Usa el código a continuación para completar el enlace.,Use o código abaixo para concluir a vinculação.,"Используйте код ниже, чтобы выполнить привязку.",Gunakan kode di bawah untuk menyelesaikan penautan.,Usa il codice qui sotto per completare l'associazione.,ใช้รหัสด้านล่างเพื่อทำการเชื่อมโยงให้เสร็จสิ้น,Sử dụng mã bên dưới để hoàn tất quy trình liên kết.,استخدم الرمز أدناه لإكمال الربط.,Bağlama işlemini tamamlamak için aşağıdaki kodu kullan.
100022,邮件1正文,您收到此邮件是因为有人用该邮箱尝试创建并绑定一个新的 Habby ID。若非您本人操作，请忽略。,"You received this email because someone applied to bind a new Habby ID with this email address. If you did not make this request, please disregard this email.",您收到此郵件是因為有人用該郵箱嘗試建立並綁定一個新的 Habby ID。若非您本人操作，請忽略。,이 이메일 주소에 새로운 Habby ID 이메일 연동이 신청되어 해당 이메일이 발송되었습니다. 만약 이 신청을 하지 않았다면 이 이메일을 무시해도 됩니다.,このメールアドレスが新しい Habby ID の登録および連携を行っています。ご本人の操作ではない場合、このメールを無視してください。,"Du hast diese E-Mail erhalten, weil jemand die Verbindung einer neuen Habby ID mit dieser E-Mail-Adresse angefordert hast. Wenn du keinen solchen Antrag gestellt hast, ignoriere diese E-Mail bitte.","Vous avez reçu cet e-mail parce que vous avez demandé à lier un nouvel ID Habby à cette adresse e-mail. Si vous n'avez pas fait cette demande, veuillez ignorer cet e-mail.","Has recibido este correo porque has solicitado enlazar una nueva Habby ID a esta dirección de correo electrónico. Si no hiciste esta solicitud, ignora este correo.","Você recebeu este e-mail porque alguém tentou vincular uma nova Habby ID com este endereço de e-mail. Se não fez essa solicitação, ignore este e-mail.","Вы получили это письмо, так как кто-то отправил заявку на привязку вашего Habby ID к этому адресу эл. почты. Если вы не делали такого запроса, не обращайте внимания на это письмо.","Kamu menerima email ini karena seseorang telah mengajukan untuk menautkan ID Habby baru dengan alamat email ini. Jika kamu tidak mengajukan permintaan, harap abaikan email ini.","Hai ricevuto questa e-mail perché qualcuno ha richiesto di creare un nuovo ID Habby con questo indirizzo e-mail. Se non hai effettuato questa richiesta, ti invitiamo a ignorare questa e-mail.",คุณได้รับอีเมลนี้เนื่องจากมีผู้ร้องขอการเชื่อมโยง Habby ID ใหม่ด้วยที่อยู่อีเมลนี้ หากคุณไม่ได้ทำการร้องขอดังกล่าว โปรดเพิกเฉยต่ออีเมลนี้,"Bạn nhận được email vì có người nào đó đã đăng ký liên kết ID Habby mới với địa chỉ email này. Nếu bạn không gửi yêu cầu này, hãy bỏ qua email này.",تلقيت رسالة البريد هذه لأن أحدهم قدَّم طلبًا لربط معرّف Habby جديد بعنوان البريد الإلكتروني هذا. إذا لم تقدّم هذا الطلب، يُرجى تجاهل هذه الرسالة.,Bu e-posta adresiyle bir Habby ID bağlama başvurusu yapıldığı için bu mesajı gönderiyoruz. Bu başvuruyu siz yapmadıysanız lütfen mesajı dikkate almayın.
100023,邮件2标题,Habby ID 创建完成,Habby ID created successfully,Habby ID 創建完成,Habby ID 생성 완료,Habby ID 登録が完了しました,Habby ID erfolgreich erstellt,ID Habby créé avec succès,Habby ID enlazada correctamente,Habby ID vinculada com sucesso,Habby ID создан,ID Habby berhasil dibuat,L'ID Habby è stato creato con successo,เชื่อมโยง Habby ID สำเร็จ,Đã tạo ID Habby thành công,نجح إنشاء معرّف Habby,Habby ID başarıyla bağlandı
100024,邮件2正文标题,创建成功！,Successfully created!,創建成功！,성공적으로 생성되었습니다!,登録に成功しました！,Erfolgreich erstellt!,Lié avec succès !,¡Creada correctamente!,Criação bem-sucedida!,Создано!,Berhasil dibuat!,Creazione riuscita!,สร้างสำเร็จ!,Đã tạo thành công!,نجح الإنشاء!,Başarıyla oluşturuldu!
100025,邮件2正文,亲爱的玩家，您的游戏进度已储存至云端，以下是您的账户信息：,"Hi there, your game progress has been saved to the cloud. Here are your account details:",親愛的玩家，您的遊戲進度已儲存至雲端，以下是您的帳戶資訊：,"안녕하세요, 게임 진행이 클라우드에 저장되었습니다. 아래는 계정 정보입니다:",ゲームの進行状況がクラウドに保存されました。アカウント情報は以下になります。,"Hallo, dein Spielfortschritt wurde in der Cloud gespeichert. Hier sind deine Kontodaten:","Bonjour, votre progression dans le jeu a été enregistrée dans le cloud. Voici les détails de votre compte :","Hola, tu progreso en el juego se ha guardado en la nube. Aquí tienes los detalles de tu cuenta:",Olá! O seu progresso no jogo foi salvo na nuvem. Veja os detalhes da sua conta:,"Здравствуйте, ваш игровой прогресс сохранен в облаке. Вот данные вашей учетной записи:","Halo, progres game kamu telah disimpan ke cloud. Berikut detail akun kamu:","Ciao, i tuoi progressi di gioco sono stati salvati nel cloud. Ecco i dati del tuo account:",สวัสดี ความคืบหน้าเกมของคุณได้รับการบันทึกไปยังคลาวด์แล้ว นี่คือรายละเอียดบัญชีของคุณ:,"Xin chào, tiến trình game của bạn đã được lưu lên cloud. Dưới đây là thông tin chi tiết về tài khoản của bạn:",أهلًا، تم حفظ تقّدمك باللعبة في السحابة. إليك تفاصيل حسابك:,"Merhaba, oyun ilerlemen buluta yüklendi. İşte hesap ayrıntıların:"
100026,邮件2正文,Habby ID: {0} ,Habby ID: {0} ,Habby ID: {0} ,Habby ID: {0},Habby ID: {0},Habby ID: {0},ID Habby : {0},Habby ID: {0},Habby ID: {0},Habby ID: {0},ID Habby: {0},ID Habby: {0},Habby ID: {0},ID Habby: {0},معرّف Habby: {0},Habby ID: {0}
100027,邮件2正文,Connected Email: {1},Connected Email: {1},Connected Email: {1},연동된 이메일: {1},連携メールアドレス: {1},Verknüpfte E-Mail: {1},E-mail connecté : {1},Correo electrónico conectado: {1},E-mail vinculado: {1},Привязанный адрес эл. почты: {1},Email Terhubung: {1},E-mail collegata: {1},อีเมลที่เชื่อมโยง: {1},Email đã liên kết: {1},البريد الإلكتروني المربوط: {1},Bağlı E-posta: {1}
100028,邮件2正文,Game ID: {2},Game ID: {2},Game ID: {2},게임 ID: {2},ゲーム ID: {2},Spiel-ID: {2},ID de jeu : {2},ID del juego: {2},ID do jogo: {2},Игровой ID: {2},ID Game: {2},ID gioco: {2},ID เกม: {2},ID game: {2},معرّف اللعبة: {2},Oyun Kimliği: {2}
100029,邮件2正文,TGA Device ID {4},TGA Device ID {4},TGA Device ID {4},TGA 장치 ID {4},TGA デバイス ID {4},TGA-Geräte-ID {4},ID de périphérique TGA {4},ID de dispositivo TGA {4},ID do dispositivo TGA {4},Идентификатор устройства TGA {4},ID Perangkat TGA {4},ID dispositivo TGA {4},รหัสอุปกรณ์ TGA {4},ID thiết bị TGA {4},معرّف جهاز TGA {4},TGA Cihaz Kimliği {4}
100030,邮件2正文,TGA Distinct ID {5},TGA Distinct ID {5},TGA Distinct ID {5},TGA 고유 ID {5},TGA 固有 ID {5},TGA-Eindeutige ID {5},ID distinct TGA {5},ID distintivo de TGA {5},ID distinta TGA {5},Отличительный идентификатор TGA {5},ID Berbeda TGA {5},ID distinto TGA {5},รหัสเฉพาะ TGA {5},ID riêng biệt TGA {5},معرّف TGA المميز {5},TGA Özel Kimliği {5}
100031,邮件2正文,如果您有任何疑问，欢迎通过邮件与我们沟通 <b><color=#0066CC>{3}</color></b>。,"If you have any questions, feel free to reach out to us via email at <b><color=#0066CC>{3}</color></b>.",如果您有任何疑問，歡迎透過電子郵件與我們溝通 <b><color=#0066CC>{3}</color></b>。,문의 사항이 있으면 언제든지 <b><color=#0066CC>{3}</color></b>으로 연락해 주세요.,ご不明な点がございましたら、メールにてお気軽にお問い合わせください <b><color=#0066CC>{3}</color></b>。,"Wenn du Fragen hast, kannst du dich gerne per E-Mail an uns wenden: <b><color=#0066CC>{3}</color></b>","Si vous avez des questions, n'hésitez pas à nous contacter par e-mail à l'adresse <b><color=#0066CC>{3}</color></b>.","Si tienes alguna duda, puedes ponerte en contacto con nosotros por correo electrónico en <b><color=#0066CC>{3}</color></b>.","Se tiver alguma pergunta, entre em contato conosco pelo e-mail <b><color=#0066CC>{3}</color></b>.","Если у вас есть вопросы, свяжитесь с нами по эл. почте: <b><color=#0066CC>{3}</color></b>.","Jika kamu mempunyai pertanyaan, jangan ragu untuk menghubungi kami melalui email di <b><color=#0066CC>{3}</color></b>.","Per qualsiasi domanda, non esitare a contattarci via e-mail all'indirizzo <b><color=#0066CC>{3}</color></b>.",หากมีคำถามใดๆ โปรดติดต่อเราได้ทางอีเมล <b><color=#0066CC>{3}</color></b>,"Nếu bạn còn thắc mắc, đừng ngại liên hệ với chúng tôi qua email <b><color=#0066CC>{3}</color></b> nhé.",إذا كانت لديك أي أسئلة، فلا تتردد في التواصل معنا عبر البريد الإلكتروني <b><color=#0066CC>{3}</color></b>.,"Eğer bir soru sormak istersen, <b><color=#0066CC>{3}</color></b> adresine e-posta göndererek bize ulaşabilirsin."
100032,邮件3标题,Habby ID 登录验证码,Habby ID login verification code,Habby ID 登入驗證碼,Habby ID 로그인 인증 코드,Habby ID ログイン認証コード{0｝,Habby ID-Anmeldungsbestätigungscode,Code de vérification de connexion de l'ID Habby,Código de verificación de inicio de sesión de Habby ID,Código de verificação de login da Habby ID,Код подтверждения для входа в Habby ID,Kode verifikasi login ID Habby,Codice di verifica di accesso all'ID Habby,รหัสยืนยันล็อกอิน Habby ID,Mã xác thực đăng nhập ID Habby,رمز التحقق لتسجيل الدخول إلى معرّف Habby,Habby ID giriş doğrulama kodu
100033,邮件3正文标题,欢迎回来！,Welcome back!,歡迎回來！,다시 오신 것을 환영합니다!,おかえりなさい！,Willkommen zurück!,Bienvenue !,¡Hola otra vez!,Boas-vindas!,С возвращением!,Selamat datang kembali!,È bello rivederti!,ยินดีต้อนรับกลับ!,Chào mừng trở lại!,مرحبًا بعودتك!,Tekrar hoş geldin!
100034,邮件3正文,使用下方验证码完成登录。,Use the code below to complete the login.,使用下方驗證碼完成登入。,아래의 코드를 사용하여 연동을 완료하세요.,下記の認証コードを使用してログインしてください。,"Benutze den untenstehenden Code, um die Anmeldung abzuschließen.",Utilisez le code ci-dessous pour terminer la connexion.,Usa el código a continuación para completar el inicio de sesión.,Use o código abaixo para concluir o login.,"Используйте код ниже, чтобы выполнить вход.",Gunakan kode di bawah untuk menyelesaikan login.,Usa il codice qui sotto per completare l'accesso.,ใช้รหัสด้านล่างเพื่อล็อกอินให้เสร็จสิ้น,Sử dụng mã bên dưới để hoàn tất quy trình đăng nhập.,استخدم الرمز أدناه لإكمال تسجيل الدخول.,Giriş işlemini tamamlamak için aşağıdaki kodu kullan.
100035,邮件3正文,您收到此邮件是因为有人用该邮箱尝试登录 Habby ID。若非您本人操作，请忽略。,"You received this email because someone tried to log in a Habby ID with this email address. If you did not make this request, please disregard this email.",您收到此郵件是因為有人用該郵箱嘗試登入 Habby ID。若非您本人操作，請忽略。,이 이메일로 누군가가 Habby ID에 접속을 시도하여 해당 이메일이 발송되었습니다. 만약 본인이 아니라면 이 이메일을 무시해도 됩니다.,このメールアドレスが Habby ID のログインを行っています。ご本人の操作ではない場合、このメールを無視してください。,"Du hast diese E-Mail erhalten, weil jemand versuchte, sich mit dieser E-Mail bei einer Habby ID anzumelden. Wenn du keinen solchen Antrag gestellt hast, ignoriere diese E-Mail bitte.","Vous avez reçu cet e-mail car quelqu'un a essayé de se connecter à un ID Habby avec cette adresse e-mail. Si vous n'avez pas fait cette demande, veuillez ignorer cet e-mail.","Has recibido este correo porque alguien intentó iniciar sesión en una Habby ID con esta dirección de correo electrónico. Si no hiciste esta solicitud, ignora este correo.","Você recebeu este e-mail porque alguém tentou fazer login em uma Habby ID com este endereço de e-mail. Se não fez essa solicitação, ignore este e-mail.","Вы получили это письмо, так как кто-то попытался войти в ваше Habby ID, использовав этот адрес эл. почты. Если вы не делали такого запроса, не обращайте внимания на это письмо.","Kamu menerima email ini karena seseorang telah berusaha masuk ke ID Habby dengan alamat email ini. Jika kamu tidak mengajukan permintaan, harap abaikan email ini.","Hai ricevuto questa e-mail perché qualcuno ha cercato di accedere a un ID Habby con questo indirizzo e-mail. Se non hai effettuato questa richiesta, ti invitiamo a ignorare questa e-mail.",คุณได้รับอีเมลนี้เนื่องจากมีผู้พยายามล็อกอิน Habby ID ของคุณด้วยที่อยู่อีเมลนี้ หากคุณไม่ได้ทำการร้องขอดังกล่าว โปรดเพิกเฉยต่ออีเมลนี้,"Bạn nhận được email vì có người nào đó đã cố đăng nhập vào ID Habby bằng địa chỉ email này. Nếu bạn không gửi yêu cầu này, hãy bỏ qua email này.",تلقيت رسالة البريد هذه لأن أحدهم حاول تسجيل الدخول إلى معرّف Habby بعنوان البريد الإلكتروني هذا. إذا لم تقدّم هذا الطلب، يُرجى تجاهل هذه الرسالة.,Bu e-posta adresiyle bir Habby ID hesabına giriş yapılmak istendiği için bu mesajı gönderiyoruz. Bu denemeyi siz yapmadıysanız lütfen mesajı dikkate almayın.
100015,,登出,Log Out,登出,로그아웃,ログアウト,Abmelden,Se déconnecter,Cerrar sesión,Sair,Выйти,Keluar,Esci,ออกจากระบบ,Đăng xuất,تسجيل الخروج,Çıkış Yap
100016,,订阅邮件,Subscribe to Emails,訂閱郵件,이메일 구독,メール購読,E-Mails abonnieren,S'abonner aux e-mails,Suscribirse a los correos electrónicos,Assinar e-mails,Подписаться на эл. рассылку,Berlangganan ke Email,Iscriviti alle e-mail,สมัครรับอีเมล,Đăng ký nhận email,الاشتراك في رسائل البريد,E-posta Aboneliği Başlat
100042,登出提示,您确定要退出当前账户吗？,Are you sure you want to log out of your current account?,您確定要退出目前帳戶嗎？,현재 계정에서 로그아웃 하시겠습니까?,現在のアカウントからログアウトしますか？,"Bist du sicher, dass du dich von deinem aktuellen Konto abmelden möchtest?",Voulez-vous vraiment vous connecter de votre compte actuel?,¿Estás seguro de que quieres cerrar la sesión de tu cuenta actual?,Tem certeza de que deseja sair da sua conta atual?,"Вы уверены, что хотите выйти из текущей учетной записи?",Kamu yakin ingin keluar dari akunmu saat ini?,Vuoi davvero uscire dal tuo attuale account?,แน่ใจหรือว่าต้องการออกจากระบบบัญชีปัจจุบันของคุณ?,Bạn có chắc là muốn đăng xuất khỏi tài khoản hiện tại của mình không?,هل أنت متأكد أنك تريد تسجيل الخروج من حسابك الحالي؟,Mevcut hesabından çıkış yapmak istediğine emin misin?
100043,切换提示,您已切换至新的账户,You have switched to a new account.,您已切換至新的帳戶,새 계정으로 변경하였습니다.,新しいアカウントに切り替えました。,Du hast auf ein neues Konto gewechselt,Vous êtes passé à un nouveau compte.,Has cambiado a una nueva cuenta.,Você mudou para uma nova conta.,Вы перешли на новую учетную запись.,Kamu telah beralih ke akun baru.,Sei passato/a a un nuovo account.,คุณได้เปลี่ยนเป็นบัญชีใหม่,Bạn đã chuyển sang một tài khoản mới.,لقد بدّلت إلى حساب جديد.,Yeni bir hesaba geçtin.
100062,成功提示,绑定成功！,Binding successful!,綁定成功！,연동 성공!,連携成功！,Verbindung erfolgreich!,Liaison réussie !,¡Enlace correcto!,Vinculação bem-sucedida!,Привязка удалась!,Penautan berhasil!,Associazione riuscita!,เชื่องโยงสำเร็จ!,Liên kết thành công!,نجح الربط!,Bağlama başarılı!
100063,,登录成功！,Login successful!,登入成功！,로그인 성공!,ログイン成功！,Anmeldung erfolgreich!,Connexion réussie !,¡Inicio de sesión correcto!,Login bem-sucedido!,Вход удался!,Login berhasil!,Accesso riuscito!,ล็อกอินสำเร็จ!,Đăng nhập thành công!,نجح تسجيل الدخول!,Giriş başarılı!
100067,*输入框左方引导文案,发送,Send,傳送,코드,コード,Senden,Envoyer,Enviar,Enviar,Отправить,Kirim,Invia,ส่ง,Gửi,إرسال,Gönder
100064,,绑定失败,Binding unsuccessful,綁定失敗,연동 실패 오류,連携失敗,Verbindung nicht erfolgt,Liaison non réussie,Fallo de vinculación,Vinculação sem sucesso,Привязка не удалась,Pengikatan tidak berhasil,Associazione non riuscita,เชื่อมโยงไม่สำเร็จ,Liên kết không thành công,لم ينجح الربط,Bağlama başarısız
100065,*未注册提示弹窗标题,邮箱未绑定,Email not bound,信箱未綁定,연동되지 않은 이메일입니다.,メールアドレスが連携されていません,E-Mail nicht verbunden,E-mail non lié,Email no vinculado,E-mail não vinculado,Эл. почта не привязана,Email tidak terikat,E -mail non associata,อีเมลไม่ถูกเชื่อมโยง,Email chưa được liên kết,لم يتم ربط البريد الإلكتروني,E -posta bağlı değil
100066,*未注册提示弹窗内容,您输入的邮箱地址还未绑定 Habby ID。请重新检查后再尝试登录。,The email address you entered is not yet bound to a Habby ID. Please double-check and try logging in again.,您輸入的郵件地址尚未綁定 Habby ID。請重新檢查後再嘗試登入。,입력하신 이메일 주소는 Habby ID 에 연동되지 않은 이메일입니다. 확인 후 다시 로그인을 시도해 주세요.,入力されたメールアドレスがHabby IDに連携されていません。再度ご確認の上、ログインをお試しください。,"Die von dir eingegebene E-Mail-Adresse ist noch nicht mit einer Habby ID verbunden. Bitte überprüfe das und versuche, dich erneut anzumelden.",L'adresse e-mail que vous avez saisie n'est pas encore liée à un ID Habby. Veuillez revérifier et essayer de vous connecter à nouveau.,La dirección de email que añadiste aún no está vinculada a una ID de Habby. Compruébalo otra vez e intenta volver a iniciar sesión.,O endereço de e-mail que você inseriu ainda não foi vinculado a uma Habby ID. Verifique e tente fazer login novamente.,Введенный вами адрес эл. почты еще не привязан к Habby ID. Перепроверьте его и попробуйте войти еще раз.,Alamat email yang kamu masukkan belum terikat pada ID Habby. Harap periksa kembali dan coba masuk lagi.,L'indirizzo e-mail che hai inserito non è ancora associato a un ID Habby. Ti invitiamo a ricontrollare e riprovare ad accedere.,ที่อยู่อีเมลที่คุณกรอกยังไม่ถูกเชื่อมโยงกับ Habby ID โปรดตรวจสอบอีกครั้งและลองล็อกอินใหม่,Địa chỉ email bạn nhập vẫn chưa được liên kết với ID Habby. Vui lòng kiểm tra kỹ và thử đăng nhập lại.,عنوان البريد الإلكتروني الذي أدخلته لم يتم ربطه بعد بمعرّف Habby. يُرجى التحقق مجددًا، ثم حاول تسجيل الدخول مرة أخرى.,Girdiğin e-posta adresi henüz bir Habby ID ile bağlı değil. Lütfen tekrar kontrol et ve yeniden giriş yapmayı dene.
100068,等十分钟标题//todo,登录频繁,Frequent login error,登入頻繁,반복적인 로그인 오류,ログイン試行回数が多すぎます,Häufiger Anmeldefehler,Erreur de connexions fréquentes,Error de inicio de sesión frecuente,Erro de login frequente,Частая ошибка входа,Kesalahan login berulang,Errore di accesso frequente,ล็อกอินผิดพลาดหลายครั้ง,Lỗi đăng nhập sai liên tục,خطأ في تسجيل الدخول المتكرر,Sık giriş hatası
100069,等十分钟内容/todo,您的账户登录过于频繁。为了您的账户安全，请在10分钟后再尝试登录。,"Your account has experienced too many unsuccessful login attempts. For the security of your account, please try again in 10 minutes.",您的帳戶登入過於頻繁。為了您的帳戶安全，請在10分鐘後再嘗試登入。,계정이 반복적으로 로그인되었습니다. 계정 보안을 위해 10분 후에 다시 로그인을 시도해 주세요.,ログイン試行回数が多すぎます。アカウントセキュリティのため、10分後に再度ログインをお試しください。,Dein Konto hatte zu viele erfolglose Anmeldeversuche. Für die Sicherheit deines Kontos versuche es bitte erneut in 10 Minuten.,"Votre compte a connu trop de tentatives de connexion infructueuses. Pour des raisons de sécurité de votre compte, veuillez réessayer dans 10 minutes.","Se han producido demasiados intentos de inicio de sesión fallidos. Por seguridad de tu cuenta, inténtalo de nuevo en 10 minutos.","Sua conta teve muitas tentativas de login sem sucesso. Para preservar a segurança da conta, tente novamente em 10 minutos.",Слишком много неудачных попыток входа для вашей учетной записи. Для безопасности учетной записи попробуйте войти еще раз через 10 минут.,"Akun kamu telah mengalami terlalu banyak upaya login yang gagal. Untuk keamanan akunmu, harap coba lagi dalam 10 menit.","Il tuo account ha subito troppi tentativi di accesso non riusciti. Per la sicurezza del tuo account, riprova tra 10 minuti.",บัญชีของคุณล็อกอินไม่สำเร็จหลายครั้งเกินไป เพื่อความปลอดภัยของบัญชี โปรดลองอีกครั้งในอีก 10 นาที,"Tài khoản của bạn đã có quá nhiều nỗ lực đăng nhập không thành công. Để bảo mật tài khoản của bạn, vui lòng thử lại sau 10 phút.",شهد حسابك الكثير من محاولات تسجيل الدخول غير الناجحة. لضمان أمان حسابك، يُرجى المحاولة مرة أخرى بعد 10 دقائق.,Hesabında çok fazla başarısız giriş denemesi yapıldı. Hesabının güvenliği için lütfen 10 dakika sonra tekrar dene.
100070,服务器繁忙标题,服务器繁忙,Server busy,伺服器繁忙,서버 사용량이 많습니다,サーバー混雑,Server ausgelastet,Serveur occupé,Servidor ocupado,Servidor ocupado,Сервер занят,Server sibuk,Server occupato,เซิร์ฟเวอร์ไม่ว่าง,Máy chủ bận,الخادم مشغول,Sunucu meşgul
100071,服务器繁忙描述,当前服务器繁忙，请稍后再尝试。,"The server is currently busy, please try again later.",目前伺服器繁忙，請稍後再嘗試。,현재 서버 사용량이 많습니다. 나중에 다시 시도해 주세요.,サーバーアクセスが混雑しております。少し時間空いてからアクセスをお試しください,Der Server ist derzeit beschäftigt. Bitte versuche es später erneut.,"Le serveur est actuellement occupé, veuillez réessayer plus tard.","El servidor está ocupado, inténtalo de nuevo más tarde.",O servidor está ocupado no momento. Tente novamente mais tarde.,"Сервер занят, повторите попытку позже.","Server saat ini sibuk, coba lagi nanti.",Il server è occupato; riprova più tardi.,เซิร์ฟเวอร์ไม่ว่างในขณะนี้ โปรดลองอีกครั้งในภายหลัง,"Máy chủ hiện đang bận, vui lòng thử lại sau.",الخادم مشغول حاليًا، يُرجى المحاولة مرة أخرى لاحقًا.,"Sunucu şu anda meşgul, lütfen daha sonra tekrar dene."
100072,验证码超时标题,验证码超时,Verification code expired,驗證碼超時,인증 코드 시간 초과,認証コードタイムアウト,Bestätigungscode abgelaufen,Le code de vérification est expiré,Código de verificación caducado,Código de verificação expirado,Срок действия кода подтверждения истек,Kode verifikasi kedaluwarsa,Codice di verifica scaduto,รหัสยืนยันหมดอายุ,Mã xác thực đã hết hạn,انتهت صلاحية رمز التحقق,Doğrulama kodu süresi doldu
100073,验证码超时内容,您的验证码已超时，请重新获取新的验证码。,The verification code has expired. Please obtain a new verification code.,您的驗證碼已逾時，請重新取得新的驗證碼。,인증 코드 시간이 초과되었습니다. 다시 인증 코드를 받으세요.,認証コードがタイムアウトしました。新しい認証コードを取得してください。,Der Bestätigungscode ist abgelaufen. Bitte hol dir einen neuen Bestätigungscode.,Le code de vérification a expiré. Veuillez obtenir un nouveau code de vérification.,El código de verificación ha caducado. Consigue un nuevo código de verificación.,O código de verificação expirou. Obtenha um novo código de verificação.,Срок действия кода подтверждения истек. Получите новый код подтверждения.,Kode verifikasi telah kedaluwarsa. Harap dapatkan kode verifikasi baru.,Il codice di verifica è scaduto. Ti invitiamo a richiedere un nuovo codice di verifica.,รหัสยืนยันหมดอายุแล้ว โปรดรับรหัสยืนยันใหม่,Mã xác thực đã hết hạn. Vui lòng lấy mã mới.,انتهت صلاحية رمز التحقق. يُرجى الحصول على رمز تحقق جديد.,Doğrulama kodunun süresi doldu. Lütfen yeni bir doğrulama kodu al.
100074,切换登录弹窗标题,游戏进度切换,Game progress switching,遊戲進度切換,게임 진도 변경,ゲーム進捗切り替え,Wechsel des Spielfortschritts,Changement de progression du jeu,Cambiar progreso de partida,Mudança de progresso de jogo,Переключение игрового прогреса,Peralihan progres game,Cambio di progressi della partita,การสลับความคืบหน้าเกม,Chuyển đổi tiến trình trò chơi,تبديل تقدُّم اللعبة,Oyun ilerlemesini değiştirme
100075,切换登录弹窗内容,您输入的邮箱已绑定另一游戏进度。是否切换至该游戏进度？,The email address you entered has been bound to another game progress. Would you like to switch to that game progress?,您輸入的郵箱已綁定另一個遊戲進度。是否切換至該遊戲進度？,입력하신 이메일은 이미 다른 게임에 연결되어 있습니다. 이 게임 진도로 변경하시겠습니까?,入力されたメールアドレスは別のゲーム進捗に連携されています。 そちらのゲーム進捗に切り替えますか？,Die von dir eingegebene E-Mail-Adresse wurde mit einen anderen Spielfortschritt verbunden. Möchtest du zu diesem Spielfortschritt wechseln?,L'adresse e-mail que vous avez saisie a été liée à une autre progression du jeu. Souhaitez-vous passer à cette progression de jeu ?,La dirección de email que añadiste ha estado vinculada a otro progreso de partida. ¿Quieres cambiar al progreso de esa partida?,O endereço de e -mail que você inseriu foi vinculado a outro progresso do jogo. Gostaria de mudar para aquele progresso de jogo?,Введенный вами адрес электронной почты привязан к другому игровому прогрессу. Хотите переключиться на этот игровой прогресс?,Alamat email yang kamu masukkan telah terikat ke progres game lain. Apakah kamu ingin beralih ke progres game itu?,L'indirizzo e-mail che hai inserito è stato associato ai progressi di un'altra partita. Vuoi passare ai progressi di quella partita?,ที่อยู่อีเมลที่คุณกรอกถูกเชื่อมโยงไว้กับความคืบหน้าของเกมอื่น คุณต้องการสลับไปใช้ความคืบหน้าของเกมนั้นหรือไม่?,Địa chỉ email bạn nhập đã được liên kết với một tiến trình trò chơi khác. Bạn có muốn chuyển sang tiến trình trò chơi đó không?,تم ربط عنوان البريد الإلكتروني الذي أدخلته بتقدُّم آخر في اللعبة. هل ترغب في التبديل إلى تقدُّم اللعبة ذاك؟,Girdiğin e -posta adresi başka bir oyun ilerlemesine bağlı. Bu oyun ilerlemesine geçmek ister misin?
100076,切换登录弹窗按钮1,返回,return,返回,돌아가기,戻る,zurückgehen,retour,volver,voltar,вернуться,kembali,torna indietro,ย้อนกลับ,quay lại,عودة,geri dön
100077,切换登录弹窗按钮2,继续登录,Continue to log in,繼續登入,계속 로그인하기,ログインを続ける,Weiter zur Anmeldung,Continuez pour vous identifier,Continuar a iniciar sesión,Continue para fazer login,"Продолжить, чтобы войти",Lanjutkan untuk login,Continua all’accesso,ล็อกอินต่อไป,Tiếp tục đăng nhập,المتابعة لتسجيل الدخول,Girişe devam et
100078,,,,,,,,,,,,,,,,,
100079,邮件退订标题,亲爱的玩家，您确定要取消邮箱订阅吗？,"Dear Player, are you sure you want to unsubscribe?",親愛的玩家，您確定要取消信箱訂閱嗎？,정말 이메일 구독을 취소하시겠어요?,メール購読を停止しますか？,"Lieber Spieler, bist du sicher, dass du abbestellen möchtest?","Cher joueur, voulez-vous vraiment vous désinscrire ?","Estimado jugador, ¿seguro que quieres cancelar la suscripción?",Tem certeza de que deseja cancelar a assinatura?,"Дорогой игрок, вы точно хотите отписаться?","Hai, Pemain. Kamu yakin ingin berhenti langganan?","Caro giocatore, vuoi davvero annullare l'iscrizione?",เรียนผู้เล่นที่เคารพ คุณแน่ใจหรือไม่ว่าต้องการเลิกรับข้อมูล?,"Người chơi thân mến, bạn có chắc là muốn hủy đăng ký không?",عزيزي اللاعب، هل أنت متأكد أنك تريد إلغاء الاشتراك؟,"Sevgili Oyuncu, abonelikten çıkmak istediğine emin misin?"
